dateTime,stationReference,latitude,longitude,parameter,qualifier,unitName,value
2022-11-24T06:30:00Z,E23019,52.464571,1.564233,level,Tidal Level,mAOD,-0.02
2022-11-24T21:30:00Z,4625TH,51.896722,-0.419615,level,Stage,mASD,0.222
2022-11-24T21:30:02Z,0020,51.456735,0.334956,level,Tidal Level,mAOD,-0.766
2022-11-24T21:30:00Z,055013_TG 326,52.220498,-2.984666,level,Stage,mASD,0.879
2022-11-24T21:30:00Z,1201TH,51.774692,-1.356854,level,Downstream Stage,mASD,2.425
2022-11-24T21:30:00Z,1201TH,51.774692,-1.356854,level,Stage,mASD,0.161
2022-11-24T21:30:00Z,1993TH,51.641035,-1.163757,level,Stage,mASD,1.106
2022-11-24T21:30:00Z,2036,52.064842,-1.966688,level,Stage,mASD,1.283
2022-11-24T21:30:00Z,024008,54.67286,-1.733251,level,Stage,m,0.985
2022-11-24T21:30:00Z,L2300,54.094667,-1.334108,level,Stage,m,2.86
2022-11-24T21:15:00Z,47128,50.639598,-4.407654,level,Stage,m,0.87
2022-11-24T21:30:00Z,52213,51.199702,-2.861707,level,Stage,mAOD,2.284
2022-11-24T21:15:00Z,E21230,52.492126,0.938899,level,Stage,m,0.496
2022-11-24T21:30:00Z,690715,53.481022,-2.212509,level,Stage,m,0.416
2022-11-24T21:30:00Z,53184,51.439017,-2.62578,level,Stage,mASD,1.182
2022-11-24T21:30:00Z,L1812,53.721999,-1.149345,level,Stage,m,0.558
2022-11-24T21:15:00Z,4980TH,51.839044,-0.027533,level,Stage,mASD,0.356
2022-11-24T21:00:00Z,2124,51.764493,-2.556805,level,Stage,mASD,0.435
2022-11-24T21:30:00Z,53147,51.543699,-2.464859,level,Stage,mASD,0.685
2022-11-24T21:30:00Z,E11301,50.863667,-1.166426,level,Stage,mASD,0.346
2022-11-24T21:30:00Z,F2809,54.146645,-0.759757,level,Stage,m,3.203
2022-11-24T16:00:00Z,44216,50.795256,-2.522871,level,Stage,m,0.229
2022-11-24T21:30:00Z,E8360,50.968752,0.097884,level,Stage,mASD,0.775
2022-11-24T21:30:00Z,48187,50.206022,-5.49846,level,Stage,m,0.15
2022-11-24T18:45:00Z,E1835,53.329892,-0.644055,level,Stage,mASD,1.376
2022-11-24T11:30:00Z,49134,50.788684,-4.516349,level,Downstream Stage,m,0.857
2022-11-24T11:30:00Z,49134,50.788684,-4.516349,level,Stage,m,0.448
2022-11-24T21:30:00Z,2251TH,51.508084,-1.530219,level,Stage,mASD,0.862
2022-11-24T21:30:00Z,730512,54.3317,-2.736971,level,Stage,m,0.327
2022-11-24T21:30:00Z,5390TH,51.567832,-0.051025,flow,,m3/s,5.161
2022-11-24T21:30:00Z,5390TH,51.567832,-0.051025,level,Stage,mASD,5.827
2022-11-24T21:30:00Z,5459TH,51.65178,0.119024,level,Stage,mASD,1.807
2022-11-24T21:30:00Z,52153,51.008129,-2.832096,level,Stage,mASD,3.169
2022-11-24T18:45:00Z,E47061,52.849491,-0.275979,level,Stage,mASD,0.849
2022-11-24T04:30:00Z,E22832,51.801923,0.634694,level,Stage,m,0.265
2022-11-24T21:30:00Z,L2203,54.143859,-1.515258,level,Stage,m,0.551
2022-11-24T17:45:00Z,E4427,52.212737,-0.938853,level,Stage,mASD,0.295
