stationReference,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow
074108,Rainfall station,53.911448,-2.098144,,,,
074329,Rainfall station,53.986087,-1.999194,,,,
074385,Rainfall station,53.947438,-2.020525,,,,
0744SE,Rainfall station,51.266892,0.857627,,,,
074924,Rainfall station,53.829697,-1.976406,,,,
075233,Rainfall station,53.79732,-1.924807,,,,
076204,Rainfall station,53.787777,-1.627332,,,,
076413,Rainfall station,53.83349,-1.58894,,,,
077066,Rainfall station,53.70469,-2.135531,,,,
077256,Rainfall station,53.798228,-2.056887,,,,
077336,Rainfall station,53.77754,-2.084173,,,,
077800,Rainfall station,53.636457,-2.005248,,,,
077836,Rainfall station,53.657107,-1.925056,,,,
077952,Rainfall station,53.772138,-1.90361,,,,
078530,Rainfall station,53.592394,-1.929702,,,,
078772,Rainfall station,53.552738,-1.824111,,,,
078922,Rainfall station,53.60567,-1.766463,,,,
0790TH,Inglesham,51.670899,-1.700313,2.09,0.03,0.9,0.1
079621,Rainfall station,53.698015,-1.667505,,,,
080282,Rainfall station,53.679365,-1.478411,,,,
082509,Rainfall station,53.367029,-1.59795,,,,
082672,Rainfall station,53.324572,-1.539797,,,,
082732,Rainfall station,53.352459,-1.545506,,,,
083280,Rainfall station,53.194682,-1.434915,,,,
083534,Rainfall station,53.250698,-1.498624,,,,
084532,Rainfall station,53.366844,-1.351488,,,,
085322,Rainfall station,53.571934,-1.588459,,,,
085960,Rainfall station,53.527019,-1.385249,,,,
086575,Rainfall station,53.591095,-1.271011,,,,
0890TH,Lechlade,51.692891,-1.672984,0.8170000000000001,0.009000000000000001,0.48,0.034
0898TH,Buscot Lock,51.68119,-1.668729,0.997,-0.299,0.35000000000000003,0
0901TH,Grafton Lock,51.690894,-1.607898,1.11,-0.404,0.38,0
0902TH,Radcot Lock,51.699764,-1.573094,0.873,-0.263,0.324,0
0903TH,Rushey Lock,51.698716,-1.534037,0.8190000000000001,-0.27,0.297,0.008
0904SO,Vexour Bridge,51.189651,0.160853,4.123,0.04,2.9,0.603
0904TH,Shifford Lock,51.70718,-1.465193,0.728,-0.20800000000000002,0.42,0.005
0911TH,Clanfield,51.719421,-1.588977,2.154,0.5670000000000001,1.025,0.613
0913TH,Bampton,51.72466,-1.54887,1.784,0.08700000000000001,1.4,0.095
0924SE,Rainfall station,51.251014,1.322456,,,,
